2016-11-30 12:03:10:511xx,1,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,	 B,,1,16655,3327,3334,0,0,0,26,0,233,0,0,0,0,3330,3331,3331,3331,3330,3330,3334,3333,3332,3331,3332,3331,3331,3331,3331,3330,3330,3332,3333,3331,3330,3329,3330,3327,3328,3333,3331,3332,3332,3331,3332,3331,3332,3332,3330,3331,3332,3330,3330,3331,3330,3331,3331,3332,3331,3334,3331,3333,3331,"3330
"
2016-11-30 12:03:11:367 B,,3,4095,"
$#",1,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,	 B,$#,1,16655,3327,3334,0,0,0,26,0,234,0,0,0,0,3330,3331,3332,3331,3330,3330,3334,3332,3333,3331,3332,3331,3331,3331,3331,3330,3330,3333,3332,3331,3330,3329,3329,3327,3328,3333,3331,3332,3333,3331,3332,3331,3332,3332,3331,3332,3332,3330,3331,3331,3330,3331,3330,3332,3331,3334,3331,3333,3331,"3330
"
2016-11-30 12:03:12:227 B,,3,4095,"
$#",1,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,	 B,,1,13324,3327,3334,0,0,0,26,0,235,0,0,0,0,3330,3331,3331,3331,3330,3330,3334,3333,3333,3331,3332,3331,3331,3331,3331,3329,3330,3332,3333,3331,3331,3329,3330,3327,3328,3332,3331,3332,3332,3331,3332,3331,3332,3332,3331,3331,3332,3331,3331,3331,3330,3331,3330,3332,3331,3334,3331,3333,3331,"3330
"
2016-11-30 12:03:13:082 B,,3,4095,"
$#",1,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,	 B,$#,1,16655,3327,3334,0,0,0,26,0,235,0,0,0,0,3330,3331,3331,3331,3330,3330,3334,3333,3333,3331,3332,3331,3331,3331,3331,3329,3330,3332,3333,3331,3331,3329,3330,3327,3328,3332,3331,3332,3332,3331,3332,3331,3332,3332,3331,3331,3332,3331,3331,3331,3330,3331,3330,3332,3331,3334,3331,3333,3331,"3330
"
2016-11-30 12:03:13:937 B,,3,4095,"
$#",1,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,	 B,$#,1,16655,3327,3334,0,0,0,26,0,236,0,0,0,0,3330,3331,3331,3331,3330,3330,3334,3333,3333,3331,3332,3331,3331,3331,3331,3329,3330,3332,3333,3332,3330,3329,3329,3327,3328,3333,3331,3332,3332,3331,3332,3331,3332,3332,3331,3332,3332,3331,3330,3331,3330,3331,3330,3332,3330,3334,3331,3333,3331,"3330
"
2016-11-30 12:03:14:791 B,,3,4095,"
$#",1,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,	 B,$#,1,16655,3327,3334,0,0,0,26,0,237,0,0,0,0,3330,3331,3332,3332,3330,3330,3334,3333,3333,3331,3331,3331,3331,3331,3332,3329,3330,3331,3332,3331,3330,3329,3330,3327,3328,3333,3331,3332,3333,3332,3332,3332,3332,3332,3331,3331,3332,3331,3331,3331,3330,3330,3331,3332,3331,3334,3331,3333,3331,"3330
"
2016-11-30 12:03:15:651 B,,3,4095,"
$#",1,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,	 B,,1,16654,3327,3334,0,0,0,26,0,238,0,0,0,0,3330,3331,3331,3331,3330,3330,3334,3333,3332,3331,3332,3331,3331,3332,3331,3329,3330,3332,3332,3331,3330,3328,3329,3327,3329,3332,3331,3331,3332,3331,3332,3331,3333,3332,3331,3331,3331,3330,3331,3331,3330,3330,3330,3332,3330,3334,3331,3333,3331,"3330
"
2016-11-30 12:03:16:506 B,,3,4095,"
",1,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,	 B,,1,16655,3327,3334,0,0,0,26,0,239,0,0,0,0,3330,3331,3332,3331,3330,3330,3334,3333,3332,3331,3332,3331,3331,3332,3331,3330,3331,3332,3333,3331,3330,3329,3329,3327,3328,3333,3331,3331,3333,3331,3332,3331,3332,3332,3331,3331,3332,3331,3331,3331,3330,3331,3330,3332,3331,3334,3331,3333,3331,"3330
"
2016-11-30 12:03:17:357 B,,3,4095,"
$#",1,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,	 B,$#,1,16655,3327,3334,0,0,0,26,0,240,0,0,0,0,3330,3331,3331,3331,3330,3330,3334,3333,3332,3331,3332,3331,3331,3331,3331,3329,3330,3332,3333,3332,3330,3328,3330,3327,3328,3332,3331,3332,3332,3331,3332,3331,3332,3332,3330,3331,3332,3331,3331,3331,3330,3330,3330,3333,3331,3333,3331,3333,3331,"3330
"
2016-11-30 12:03:18:217 B,,3,4095,"
",1,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,	 B,$#,1,9992,3327,3334,0,0,0,26,0,241,0,0,0,0,3331,3331,3331,3331,3330,3330,3334,3333,3332,3331,3331,3331,3331,3331,3331,3330,3331,3332,3333,3332,3330,3329,3329,3327,3328,3332,3331,3332,3333,3331,3362,3331,3332,3332,3330,3331,3332,3331,3331,3331,3330,3330,3330,3333,3331,3333,3331,3333,3331,"3330
"
2016-11-30 12:03:19:067 B,,3,4095,"
$#",1,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,	 B,,1,16655,3327,3334,0,0,0,26,0,241,0,0,0,0,3331,3331,3331,3331,3330,3330,3334,3333,3332,3331,3331,3331,3331,3331,3331,3330,3331,3332,3333,3332,3330,3329,3329,3327,3328,3332,3331,3332,3333,3331,3332,3331,3332,3332,3331,3331,3332,3331,3331,3331,3330,3330,3330,3332,3330,3334,3331,3333,3331,"3330
"
