2016-11-29 12:01:29:801xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx B,$#,2,16685,3335,3339,0,0,0,27,0,4,0,0,0,3,3335,3337,3336,3337,3336,3338,3338,3338,3338,3337,3337,3337,3338,3337,3337,3338,3339,3338,3337,3337,3337,3336,3337,3336,3335,3336,3338,3337,3338,3337,3338,3338,3338,3336,3336,3337,3338,3338,3338,3338,3337,3338,3337,3337,3336,3338,3337,3337,3337,"3336
"
2016-11-29 12:01:30:613 B,,3,8,"
$#",2,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	 B,$#,2,16685,3335,3339,0,0,0,27,0,5,0,0,0,3,3335,3337,3336,3337,3336,3339,3337,3338,3338,3337,3337,3337,3337,3337,3337,3338,3339,3337,3337,3338,3337,3336,3337,3336,3336,3336,3338,3337,3338,3337,3338,3338,3338,3336,3336,3337,3338,3338,3338,3338,3337,3338,3337,3337,3336,3338,3337,3337,3337,"3336
"
2016-11-29 12:01:31:425 B,,3,4,"
$#",2,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	 B,$#,2,16686,3334,3339,0,0,0,27,0,6,0,0,0,3,3334,3337,3336,3338,3336,3338,3338,3338,3338,3338,3337,3338,3338,3337,3337,3339,3338,3338,3337,3338,3337,3336,3337,3336,3336,3336,3338,3337,3338,3337,3338,3338,3338,3336,3336,3337,3338,3338,3338,3337,3337,3339,3337,3337,3337,3338,3337,3338,3338,"3335
"
2016-11-29 12:01:32:237 B,,3,8,"
$#",2,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	 B,$#,2,16685,3334,3338,0,0,0,27,0,7,0,0,0,3,3334,3337,3336,3337,3336,3338,3338,3338,3338,3337,3337,3338,3338,3337,3337,3338,3338,3338,3337,3338,3337,3336,3336,3336,3336,3336,3338,3337,3338,3337,3338,3338,3338,3336,3336,3337,3338,3338,3338,3338,3338,3338,3337,3337,3336,3337,3338,3337,3337,"3335
"
2016-11-29 12:01:33:049 B,,3,8,"
$#",2,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	 B,$#,2,16685,3334,3339,0,0,0,27,0,8,0,0,0,3,3334,3337,3336,3337,3336,3339,3338,3338,3338,3337,3337,3338,3337,3337,3337,3338,3339,3338,3337,3337,3336,3336,3337,3336,3336,3336,3338,3338,3338,3338,3338,3338,3338,3336,3336,3336,3338,3338,3338,3338,3337,3338,3337,3337,3337,3338,3338,3337,3337,"3335
"
2016-11-29 12:01:33:859 B,,3,7,"
$#",2,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	 B,$#,2,6674,3335,3339,0,0,0,27,0,9,0,0,0,3,3335,3336,3336,3337,3337,3338,3338,3338,3338,3337,3337,3338,3337,3337,3336,3338,3339,3338,3336,3337,3336,3336,3337,3336,3335,3336,3338,3338,3338,3338,3338,3338,3338,3336,3336,3336,3338,3338,3338,3338,3337,3338,3337,3337,3337,3338,3338,3337,3337,"3335
"
2016-11-29 12:01:34:673 B,,3,6,"
$#",2,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	 B,$#,2,16685,3335,3339,0,0,0,27,0,9,0,0,0,3,3335,3336,3336,3337,3337,3338,3338,3338,3338,3337,3337,3338,3337,3337,3336,3338,3339,3338,3336,3337,3336,3336,3337,3336,3335,3335,3338,3337,3338,3337,3338,3338,3338,3336,3336,3337,3338,3338,3338,3338,3337,3338,3337,3337,3336,3338,3338,3338,3337,"3336
"
2016-11-29 12:01:35:484 B,,3,7,"
$#",2,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	 B,$#,2,16685,3335,3338,0,0,0,27,0,10,0,0,0,3,3335,3337,3336,3338,3336,3338,3338,3338,3338,3337,3337,3337,3338,3337,3337,3338,3338,3338,3337,3338,3336,3336,3336,3336,3335,3336,3337,3338,3338,3337,3338,3338,3338,3336,3336,3337,3338,3338,3338,3338,3337,3338,3337,3337,3338,3338,3338,3337,3338,"3335
"
2016-11-29 12:01:36:296 B,,3,6,"
$#",2,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	 B,$#,2,16686,3335,3339,0,0,0,27,0,11,0,0,0,3,3335,3336,3336,3337,3337,3338,3338,3338,3338,3338,3337,3338,3337,3337,3337,3338,3339,3338,3337,3338,3337,3336,3337,3336,3336,3335,3338,3338,3338,3337,3338,3338,3338,3336,3336,3336,3338,3338,3338,3338,3338,3338,3336,3337,3336,3338,3338,3337,3337,"3336
"
2016-11-29 12:01:37:108 B,,3,7,"
$#",2,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	 B,$#,2,16685,3334,3339,0,0,0,27,0,12,0,0,0,3,3334,3337,3337,3336,3337,3339,3338,3338,3338,3337,3337,3337,3337,3337,3337,3338,3338,3338,3337,3338,3336,3336,3336,3336,3336,3336,3338,3338,3338,3337,3338,3338,3338,3336,3336,3336,3338,3338,3338,3337,3338,3338,3337,3337,3336,3338,3337,3338,3337,"3336
"
2016-11-29 12:01:37:920 B,,3,7,"
$#",2,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	 B,$#,2,16685,3335,3339,0,0,0,27,0,13,0,0,0,3,3335,3337,3336,3337,3336,3338,3338,3337,3338,3337,3337,3337,3338,3337,3337,3339,3338,3338,3336,3338,3337,3336,3337,3336,3336,3336,3338,3337,3338,3337,3337,3338,3338,3336,3336,3337,3338,3338,3338,3337,3337,3338,3337,3337,3337,3338,3337,3337,3337,"3335
"
2016-11-29 12:01:38:732 B,,3,8,"
$#",2,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	 B,$#,2,16685,3335,3339,0,0,0,27,0,13,0,0,0,3,3335,3337,3336,3337,3336,3338,3338,3337,3338,3337,3337,3337,3338,3337,3337,3339,3338,3338,3336,3338,3337,3336,3337,3336,3336,3336,3338,3337,3338,3337,3337,3338,3338,3336,3336,3337,3338,3338,3338,3337,3337,3338,3337,3337,3337,3338,3337,3337,3337,"3335
"
2016-11-29 12:01:39:544 B,,3,7,"
$#",2,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	 B,$#,2,16685,3335,3338,0,0,0,27,0,14,0,0,0,3,3335,3337,3336,3337,3336,3338,3338,3338,3337,3337,3337,3337,3337,3337,3337,3338,3338,3338,3337,3338,3336,3336,3337,3336,3336,3336,3338,3337,3338,3337,3338,3337,3338,3336,3336,3337,3338,3338,3338,3338,3337,3337,3337,3338,3337,3338,3337,3338,3337,"3335
"
