2016-11-29 15:01:06:382xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx B,,2,15532,3101,3111,0,0,0,34,0,9,0,0,0,3,3106,3105,3105,3104,3103,3101,3101,3103,3101,3103,3108,3110,3109,3109,3108,3104,3104,3104,3107,3103,3111,3111,3111,3111,3110,3106,3106,3108,3109,3107,3108,3109,3109,3109,3109,3109,3110,3107,3110,3107,3107,3108,3107,3106,3106,3103,3103,3103,3102,"3105
"
2016-11-29 15:01:07:195 B,,3,7,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3101,3111,0,0,0,34,0,10,0,0,0,3,3106,3106,3105,3104,3103,3102,3101,3103,3102,3103,3109,3110,3110,3108,3108,3104,3105,3104,3107,3103,3111,3111,3111,3110,3110,3106,3107,3109,3108,3107,3109,3109,3109,3109,3109,3109,3110,3107,3110,3107,3106,3107,3107,3106,3106,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:08:006 B,,3,6,"
$å",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3101,3111,0,0,0,34,0,11,0,0,0,3,3106,3106,3105,3104,3103,3102,3101,3103,3102,3102,3109,3110,3109,3109,3108,3105,3105,3104,3108,3104,3111,3111,3111,3111,3110,3106,3107,3109,3108,3107,3109,3109,3109,3109,3109,3109,3109,3107,3111,3107,3107,3107,3107,3106,3106,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:08:822 B,,3,7,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,9319,3101,3111,0,0,0,34,0,12,0,0,0,3,3107,3106,3105,3104,3103,3102,3101,3103,3102,3103,3109,3109,3110,3108,3108,3104,3105,3104,3107,3103,3111,3111,3111,3111,3110,3106,3107,3109,3109,3107,54559,55071,55071,55071,55071,3109,3109,3107,3111,3107,3107,3107,3107,3106,3106,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:09:628 B,,3,6,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3101,3111,0,0,0,34,0,12,0,0,0,3,3107,3106,3105,3104,3103,3102,3101,3103,3102,3103,3109,3109,3110,3108,3108,3104,3105,3104,3107,3103,3111,3111,3111,3111,3110,3106,3107,3109,3109,3107,3108,3109,3109,3109,3109,3109,3110,3108,3110,3107,3107,3108,3106,3106,3106,3102,3103,3103,3103,"3105
"
2016-11-29 15:01:10:440 B,,3,7,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3101,3111,0,0,0,34,0,13,0,0,0,3,3106,3106,3106,3104,3103,3103,3101,3103,3102,3103,3109,3109,3110,3108,3108,3104,3104,3104,3107,3104,3110,3111,3111,3110,3110,3106,3107,3108,3108,3107,3108,3109,3109,3109,3109,3108,3111,3108,3110,3108,3107,3108,3107,3106,3106,3103,3103,3102,3103,"3105
"
2016-11-29 15:01:11:251 B,,3,7,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3101,3111,0,0,0,34,0,14,0,0,0,3,3107,3106,3106,3104,3102,3102,3101,3103,3102,3103,3109,3110,3110,3108,3108,3104,3104,3104,3108,3104,3111,3111,3111,3111,3110,3106,3107,3109,3109,3107,3108,3109,3109,3109,3109,3109,3110,3107,3110,3108,3107,3107,3107,3106,3106,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:12:062 B,,3,7,"
",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3102,3111,0,0,0,34,0,15,0,0,0,3,3106,3106,3105,3104,3103,3102,3102,3103,3102,3103,3109,3109,3109,3108,3108,3105,3105,3104,3107,3104,3110,3111,3111,3110,3110,3106,3107,3108,3108,3107,3109,3109,3109,3109,3109,3109,3110,3107,3110,3108,3107,3108,3107,3106,3106,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:12:874 B,,3,8,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15532,3101,3111,0,0,0,34,0,16,0,0,0,3,3106,3106,3106,3104,3103,3102,3101,3103,3102,3102,3109,3109,3110,3109,3108,3104,3105,3103,3107,3103,3111,3111,3111,3110,3110,3106,3107,3108,3108,3107,3109,3109,3109,3109,3108,3109,3109,3107,3110,3107,3107,3107,3107,3106,3107,3102,3103,3103,3103,"3104
"
2016-11-29 15:01:13:686 B,,3,7,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15532,3101,3111,0,0,0,34,0,16,0,0,0,3,3106,3106,3106,3104,3103,3102,3101,3103,3102,3102,3109,3109,3110,3109,3108,3104,3105,3103,3107,3103,3111,3111,3111,3110,3110,3106,3107,3108,3108,3107,3109,3109,3109,3109,3108,3109,3109,3107,3110,3107,3107,3107,3107,3106,3107,3102,3103,3103,3103,"3104
"
2016-11-29 15:01:14:497 B,,3,8,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3101,3111,0,0,0,34,0,17,0,0,0,3,3106,3106,3105,3104,3103,3101,3101,3103,3102,3102,3109,3109,3110,3109,3108,3105,3105,3104,3107,3104,3111,3111,3111,3110,3110,3106,3106,3109,3108,3108,3108,3109,3109,3109,3109,3109,3110,3107,3110,3108,3107,3107,3107,3106,3106,3103,3103,3102,3103,"3105
"
