2016-11-30 10:54:36:022xx$#,2,0,0,28,28,28,28,26,26,26,28,26,26,28,28,26,26,28,0,26,0,	 B,$#,2,16593,3285,3338,0,28,0,28,0,192,0,0,0,0,3331,3325,3313,3314,3322,3330,3326,3324,3285,3326,3338,3329,3325,3328,3331,3332,3330,3331,3330,3330,3299,3296,3296,3298,3299,3316,3317,3314,3320,3323,3302,3308,3331,3301,3306,3301,3304,3302,3302,3307,3328,3330,3330,3329,3330,3330,3330,3330,3329,"3331
"
2016-11-30 10:54:36:876 B,,3,4095,"
$#",2,0,0,28,28,28,28,26,26,26,28,26,26,28,28,26,26,28,0,26,0,	 B,$#,2,16592,3288,3333,0,28,0,28,0,193,0,0,0,0,3330,3325,3313,3314,3322,3328,3326,3324,3288,3325,3329,3328,3328,3317,3331,3333,3331,3331,3330,3330,3299,3296,3300,3298,3299,3317,3317,3314,3320,3324,3301,3307,3331,3302,3306,3300,3304,3302,3302,3306,3328,3329,3330,3330,3329,3330,3330,3330,3329,"3331
"
2016-11-30 10:54:37:732 B,,3,4095,"
$#",2,0,0,28,28,28,28,26,26,26,28,26,26,28,28,26,26,28,0,26,0,	 B,$#,2,16591,3285,3332,0,28,0,28,0,194,0,0,0,0,3330,3325,3313,3314,3322,3327,3327,3323,3285,3325,3323,3331,3325,3327,3331,3332,3331,3331,3330,3330,3299,3297,3296,3297,3299,3317,3317,3314,3320,3323,3301,3308,3330,3301,3306,3301,3304,3302,3302,3307,3328,3329,3329,3328,3329,3330,3330,3330,3329,"3331
"
2016-11-30 10:54:38:586 B,,3,4095,"
$#",2,0,0,28,28,28,28,26,26,26,28,26,26,28,28,26,26,28,0,26,0,	 B,$#,2,16592,3285,3332,0,28,0,28,0,195,0,0,0,0,3331,3325,3313,3314,3322,3327,3328,3324,3285,3321,3330,3329,3325,3330,3331,3332,3331,3332,3330,3330,3298,3297,3298,3297,3299,3317,3317,3314,3320,3324,3302,3308,3331,3301,3305,3300,3304,3302,3302,3306,3328,3330,3330,3328,3330,3330,3330,3330,3329,"3331
"
2016-11-30 10:54:39:441 B,,3,4095,"
$#",2,0,0,28,28,28,28,26,26,26,28,26,26,28,28,26,26,28,0,26,0,	 B,$#,2,16592,3284,3332,0,28,0,28,0,196,0,0,0,0,3331,3325,3309,3314,3322,3327,3327,3319,3284,3328,3331,3329,3325,3329,3331,3332,3331,3331,3330,3330,3299,3296,3297,3298,3300,3317,3317,3314,3320,3323,3302,3308,3331,3301,3306,3300,3304,3302,3302,3306,3328,3329,3329,3330,3328,3330,3330,3330,3329,"3331
"
2016-11-30 10:54:40:296 B,,3,4095,"
$#",2,0,0,28,28,28,28,26,26,26,28,26,26,28,28,26,26,28,0,26,0,	 B,$#,2,16593,3287,3332,0,28,0,28,0,197,0,0,0,0,3331,3325,3313,3314,3322,3328,3326,3323,3287,3325,3332,3329,3325,3330,3330,3332,3331,3331,3330,3330,3299,3297,3298,3298,3300,3316,3317,3314,3320,3323,3302,3307,3331,3301,3306,3300,3304,3302,3302,3306,3329,3329,3330,3329,3330,3330,3330,3330,3329,"3331
"
2016-11-30 10:54:41:150 B,,3,4095,"
$#",2,0,0,28,28,28,28,26,26,26,28,26,26,28,28,26,26,28,0,26,0,	 B,$#,2,4983,3285,3332,0,28,0,28,0,198,0,0,0,0,3330,3325,3313,3314,3322,3328,3326,3323,3285,3325,3329,3328,3328,3328,3329,3332,3331,3331,3330,3330,3299,3297,3298,3298,3300,3316,3317,3314,3320,3323,3302,3307,3331,3301,3306,3300,3304,3302,3302,3306,3329,3329,3330,3329,3330,3330,3330,3330,3329,"3331
"
2016-11-30 10:54:42:005 B,,3,4095,"
$#",2,0,0,28,28,28,28,26,26,26,28,26,26,28,28,26,26,28,0,26,0,	 B,$#,2,16592,3285,3332,0,28,0,28,0,198,0,0,0,0,3330,3325,3313,3314,3322,3328,3326,3323,3285,3325,3329,3328,3328,3328,3329,3332,3331,3331,3330,3330,3299,3296,3297,3298,3299,3317,3317,3314,3320,3324,3301,3307,3331,3301,3306,3300,3305,3303,3302,3306,3328,3329,3329,3329,3330,3330,3330,3330,3328,"3331
"
2016-11-30 10:54:42:859 B,,3,4095,"
$#",2,0,0,28,28,28,28,26,26,26,28,26,26,28,28,26,26,28,0,26,0,	 B,$#,2,16592,3285,3332,0,28,0,28,0,199,0,0,0,0,3331,3325,3313,3313,3322,3327,3330,3323,3285,3325,3331,3330,3326,3328,3331,3332,3331,3331,3330,3330,3300,3296,3297,3297,3299,3317,3317,3314,3320,3323,3301,3307,3330,3301,3306,3301,3304,3303,3302,3306,3328,3329,3330,3329,3329,3330,3330,3329,3329,"3331
"
2016-11-30 10:54:43:714 B,,3,4095,"
$#",2,0,0,28,28,28,28,26,26,26,28,26,26,28,28,26,26,28,0,26,0,	 B,$#,2,16592,3284,3332,0,28,0,28,0,200,0,0,0,0,3331,3325,3313,3314,3322,3327,3327,3323,3284,3322,3330,3328,3328,3328,3331,3332,3330,3331,3330,3330,3298,3298,3299,3296,3300,3317,3317,3314,3320,3324,3301,3307,3331,3301,3306,3300,3304,3302,3302,3306,3328,3329,3329,3328,3330,3330,3330,3330,3329,"3331
"
2016-11-30 10:54:44:569 B,,3,4095,"
$#",2,0,0,28,28,28,28,26,26,26,28,26,26,28,28,26,26,28,0,26,0,	 B,,2,16593,3286,3332,0,28,0,28,0,201,0,0,0,0,3331,3325,3313,3314,3322,3327,3327,3323,3286,3325,3331,3328,3328,3328,3330,3332,3331,3332,3330,3330,3299,3297,3298,3298,3299,3317,3317,3314,3320,3323,3302,3307,3330,3301,3306,3301,3304,3302,3302,3306,3328,3329,3330,3329,3330,3330,3330,3330,3329,"3331
"
