2016-11-30 11:11:54:084 B,,3,11,"
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx B",$#,2,16592,3283,3334,0,28,0,28,0,33,0,0,0,1,3330,3325,3313,3314,3321,3330,3326,3324,3283,3325,3334,3328,3325,3328,3331,3332,3330,3331,3330,3329,3299,3297,3298,3296,3300,3315,3316,3313,3319,3323,3302,3307,3331,3301,3305,3301,3304,3302,3302,3306,3328,3329,3329,3329,3330,3330,3330,3330,3328,"3331
"
2016-11-30 11:11:54:935 B,,3,11,"
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx B",$#,2,16590,3283,3331,0,28,0,28,0,34,0,0,0,1,3329,3324,3314,3314,3322,3326,3326,3323,3283,3325,3331,3329,3325,3328,3330,3331,3330,3331,3330,3329,3299,3296,3298,3296,3299,3316,3316,3313,3319,3323,3301,3307,3331,3301,3305,3301,3304,3301,3302,3306,3328,3329,3329,3329,3330,3329,3330,3330,3328,"3331
"
2016-11-30 11:11:55:783 B,,3,9,"
$#",2,0,0,28,27,28,28,26,26,26,28,26,26,28,28,26,26,28,0,26,0,	 B,$#,2,16590,3283,3331,0,28,0,28,0,34,0,0,0,1,3329,3324,3314,3314,3322,3326,3326,3323,3283,3325,3331,3329,3325,3328,3330,3331,3330,3331,3330,3329,3299,3296,3298,3296,3299,3316,3316,3313,3319,3323,3301,3307,3331,3301,3305,3301,3304,3301,3302,3306,3328,3329,3329,3329,3330,3329,3330,3330,3328,"3331
"
2016-11-30 11:11:56:632 B,,3,10,"
$#",2,0,0,28,27,28,28,26,26,26,28,26,26,28,28,26,26,28,0,26,0,	 B,$#,2,16592,3284,3336,0,28,0,28,0,35,0,0,0,1,3332,3325,3311,3313,3322,3328,3326,3328,3284,3325,3336,3327,3325,3328,3331,3332,3330,3331,3330,3330,3299,3296,3298,3297,3299,3316,3316,3313,3319,3323,3301,3307,3330,3301,3305,3301,3304,3302,3302,3306,3327,3329,3329,3329,3329,3330,3330,3330,3329,"3331
"
2016-11-30 11:11:57:481 B,,3,7,"
$#",2,0,0,28,27,28,28,26,26,26,28,26,26,28,28,26,26,28,0,26,0,	 B,$#,2,16590,3286,3331,0,28,0,28,0,36,0,0,0,1,3330,3325,3312,3314,3321,3327,3327,3323,3286,3325,3329,3328,3326,3328,3330,3331,3330,3331,3329,3330,3298,3296,3298,3297,3298,3316,3316,3313,3319,3323,3301,3307,3330,3301,3305,3300,3304,3301,3302,3306,3329,3329,3329,3329,3330,3329,3330,3330,3329,"3331
"
2016-11-30 11:11:58:331 B,,3,7,"
$#",2,0,0,28,27,28,28,26,26,26,28,26,26,28,28,26,26,28,0,26,0,	 B,$#,2,16590,3283,3332,0,28,0,28,0,37,0,0,0,1,3331,3324,3312,3313,3321,3327,3327,3323,3283,3322,3330,3329,3325,3328,3330,3332,3331,3331,3330,3329,3298,3297,3298,3298,3299,3316,3316,3313,3320,3323,3301,3307,3330,3301,3306,3300,3304,3302,3302,3305,3328,3330,3329,3329,3329,3329,3330,3330,3328,"3331
"
2016-11-30 11:11:59:185 B,,3,10,"
$#",2,0,0,28,27,28,28,26,26,26,28,26,26,28,28,26,26,28,0,26,0,	 B,$#,2,16591,3284,3333,0,28,0,28,0,38,0,0,0,1,3330,3325,3312,3313,3321,3331,3326,3323,3284,3325,3333,3330,3325,3328,3331,3332,3330,3331,3330,3329,3298,3296,3298,3297,3299,3316,3316,3313,3320,3323,3301,3307,3330,3301,3305,3300,3304,3302,3302,3306,3328,3330,3329,3329,3330,3329,3330,3330,3329,"3331
"
2016-11-30 11:12:00:034 B,,3,8,"
$#",2,0,0,28,27,28,28,26,26,26,28,26,26,28,28,26,26,28,0,26,0,	 B,,2,16590,3284,3334,0,28,0,28,0,39,0,0,0,1,3330,3324,3312,3313,3321,3327,3326,3324,3284,3325,3334,3328,3325,3328,3330,3331,3330,3331,3330,3329,3298,3297,3297,3296,3299,3315,3316,3313,3319,3323,3301,3307,3330,3301,3305,3301,3304,3302,3302,3306,3328,3329,3329,3328,3329,3329,3330,3330,3328,"3331
"
2016-11-30 11:12:00:883 B,,3,8,"
$#",2,0,0,28,27,28,28,26,26,26,28,26,26,28,28,26,26,28,0,26,0,	 B,$#,2,13259,3284,3331,0,28,0,28,0,40,0,0,0,1,3331,3324,3313,3313,3322,3327,3326,3317,3284,3326,3330,3329,3325,3312,3331,3331,3331,3331,3330,3329,3299,3297,3297,3297,3300,3316,3316,3314,3320,3323,3301,3307,3330,3301,3305,3300,3304,3302,3302,3306,3328,3330,3329,3329,3329,3329,3330,3330,3328,"3331
"
2016-11-30 11:12:01:731 B,,3,8,"
$#",2,0,0,28,27,28,28,26,26,26,28,26,26,28,28,26,26,28,0,26,0,	 B,$#,2,16589,3284,3331,0,28,0,28,0,40,0,0,0,1,3331,3324,3313,3313,3322,3327,3326,3317,3284,3326,3330,3329,3325,3312,3331,3331,3331,3331,3330,3329,3299,3297,3297,3297,3300,3316,3316,3314,3320,3323,3301,3307,3330,3301,3305,3300,3304,3302,3302,3306,3328,3330,3329,3329,3329,3329,3330,3330,3328,"3331
"
2016-11-30 11:12:02:580 B,,3,8,"
$#",2,0,0,28,27,28,28,26,26,26,28,26,26,28,28,26,26,28,0,26,0,	 B,$#,2,16590,3284,3337,0,28,0,28,0,41,0,0,0,1,3331,3325,3303,3314,3321,3330,3326,3323,3284,3325,3337,3331,3325,3327,3331,3332,3331,3331,3330,3329,3298,3296,3298,3297,3298,3316,3316,3313,3319,3323,3301,3307,3331,3301,3305,3300,3304,3302,3302,3306,3327,3329,3328,3328,3329,3329,3330,3330,3328,"3331
"
